"id","name","email_ad_pro","afis","balisage","email_perso","iata","aerodrome","country_id/id","type_aerodrome_id/id","apt_oaci","apt_nom","apt_pays/id"
"manureva.manureva_aerodrome_ntgi","NTGI","False","Afis","False",,"XMH","MANIHI","base.pf","manureva.manureva_type_aerodrome_tous","NTGI","MANIHI","base.pf"
"manureva.manureva_aerodrome_ntgv","NTGV","False","Afis","False","armand.depierre@gmail.com","MVT","MATAIVA","base.pf","manureva.manureva_type_aerodrome_tous","NTGV","MATAIVA","base.pf"
"manureva.manureva_aerodrome_nttp","NTTP","False","Afis","False","isidore@commune-maupiti.pf","MAU","MAUPITI","base.pf","manureva.manureva_type_aerodrome_tous","NTTP","MAUPITI","base.pf"
"manureva.manureva_aerodrome_nttm","NTTM","True","ctrl","True","moorea.aerodrome@mail.pf","MOZ","MOOREA","base.pf","manureva.manureva_type_aerodrome_moz","NTTM","MOOREA","base.pf"
"manureva.manureva_aerodrome_ntgn","NTGN","False",,"False",,"NAU","NAPUKA","base.pf","manureva.manureva_type_aerodrome_tous","NTGN","NAPUKA","base.pf"
"manureva.manureva_aerodrome_ntkn","NTKN","False",,"False",,"NIU","NIAU","base.pf","manureva.manureva_type_aerodrome_tous","NTKN","NIAU","base.pf"
"manureva.manureva_aerodrome_ntmd","NTMD","True","Afis","True","nukuhiva.aerodrome@mail.pf","NHV","NUKU HIVA","base.pf","manureva.manureva_type_aerodrome_tous","NTMD","NUKU A TAHA","base.pf"
"manureva.manureva_aerodrome_ntgw","NTGW","False",,"False",,"NUK","NUKUTAVAKE","base.pf","manureva.manureva_type_aerodrome_tous","NTGW","NUKUTAVAKE","base.pf"
"manureva.manureva_aerodrome_ntku","NTKU","False",,"False",,,"NUKUTEPIPI","base.pf","manureva.manureva_type_aerodrome_priv","NTKU","NUKUTEPIPI","base.pf"
"manureva.manureva_aerodrome_ntgp","NTGP","False",,"False",,"PKP","PUKA PUKA","base.pf","manureva.manureva_type_aerodrome_tous","NTGP","PUKA PUKA","base.pf"
"manureva.manureva_aerodrome_ntgq","NTGQ","False",,"False",,"PUK","PUKARUA","base.pf","manureva.manureva_type_aerodrome_tous","NTGQ","PUKARUA","base.pf"
"manureva.manureva_aerodrome_nttr","NTTR","False",,"False",,"RFP","RAIATEA","base.pf","manureva.manureva_type_aerodrome_etat","NTTR","RAIATEA","base.pf"
"manureva.manureva_aerodrome_ntav","NTAV","True","Afis","True","raivavae.aerodrome@mail.pf","RVV","RAIVAVAE","base.pf","manureva.manureva_type_aerodrome_tous","NTAV","RAIVAVAE","base.pf"
"manureva.manureva_aerodrome_nttg","NTTG","False",,"False",,"RGI","RANGIROA","base.pf","manureva.manureva_type_aerodrome_etat","NTTG","RANGIROA","base.pf"
"manureva.manureva_aerodrome_ntko","NTKO","False",,"False",,"RRR","RAROIA","base.pf","manureva.manureva_type_aerodrome_tous","NTKO","RAROIA","base.pf"
"manureva.manureva_aerodrome_ncrg","NCRG","False",,"False",,,"RAROTONGA","base.ck","__export__.manureva_type_aerodrome_9_22f89bca","NCRG","RAROTONGA","base.pf"
"manureva.manureva_aerodrome_ntge","NTGE","False",,"False",,"REA","REAO","base.pf","manureva.manureva_type_aerodrome_tous","NTGE","REAO","base.pf"
"manureva.manureva_aerodrome_ntam","NTAM","False",,"False",,"RMT","RIMATARA","base.pf","manureva.manureva_type_aerodrome_tous","NTAM","RIMATARA","base.pf"
"manureva.manureva_aerodrome_ntar","NTAR","True","Afis","True","rurutu.aerodrome@mail.pf","RUR","RURUTU","base.pf","manureva.manureva_type_aerodrome_tous","NTAR","RURUTU","base.pf"
"manureva.manureva_aerodrome_ntaa","NTAA","False",,"False",,"PPT","TAHITI","base.pf","manureva.manureva_type_aerodrome_etat","NTAA","TAHITI","base.pf"
"manureva.manureva_aerodrome_ntgt","NTGT","False","Afis","False",,"TKP","TAKAPOTO","base.pf","manureva.manureva_type_aerodrome_tous","NTGT","TAKAPOTO","base.pf"
"manureva.manureva_aerodrome_ntkr","NTKR","False",,"False",,"TKX","TAKAROA","base.pf","manureva.manureva_type_aerodrome_tous","NTKR","TAKAROA","base.pf"
"manureva.manureva_aerodrome_ntkm","NTKM","False",,"False",,"TJN","TAKUME","base.pf","manureva.manureva_type_aerodrome_tous","NTKM","TAKUME","base.pf"
"manureva.manureva_aerodrome_ntgo","NTGO","False",,"False",,"TKV","TATAKOTO","base.pf","manureva.manureva_type_aerodrome_tous","NTGO","TATAKOTO","base.pf"
"manureva.manureva_aerodrome_ntgc","NTGC","True","Afis","False","tikehau.aerodrome@mail.pf","TIH","TIKEHAU","base.pf","manureva.manureva_type_aerodrome_tous","NTGC","TIKEHAU","base.pf"
"manureva.manureva_aerodrome_ntgj","NTGJ","False","Afis","False","carlson.ioteve@gmail.com","GMR","TOTEGEGIE","base.pf","manureva.manureva_type_aerodrome_tous","NTGJ","TOTEGEGIE","base.pf"
"manureva.manureva_aerodrome_ntat","NTAT","True","Afis","True","tubuai.aerodrome@mail.pf","TUB","TUBUAI","base.pf","manureva.manureva_type_aerodrome_tous","NTAT","TUBUAI","base.pf"
"manureva.manureva_aerodrome_nttu","NTTU","False",,"False",,,"TUPAI","base.pf","manureva.manureva_type_aerodrome_priv","NTTU","TUPAI","base.pf"
"manureva.manureva_aerodrome_ntgy","NTGY","False",,"False",,"ZTA","TUREIA","base.pf","manureva.manureva_type_aerodrome_tous","NTGY","TUREIA","base.pf"
"manureva.manureva_aerodrome_ntmu","NTMU","False","Afis","False","sylvainteikiheitaafournier@gmail.com","UAH","UA HUKA","base.pf","manureva.manureva_type_aerodrome_tous","NTMU","UA HUKA","base.pf"
"manureva.manureva_aerodrome_ntmp","NTMP","False","Afis","False","tata.serge@mail.pf","UAP","UA POU","base.pf","manureva.manureva_type_aerodrome_tous","NTMP","UA POU","base.pf"
"manureva.manureva_aerodrome_ntuv","NTUV","False",,"False",,"VHZ","VAHITAHI","base.pf","manureva.manureva_type_aerodrome_tous","NTUV","VAHITAHI","base.pf"
"__export__.manureva_aerodrome_52_f4f84bf8","NTTX","False",,"False",,,"MORUROA","base.pf","manureva.manureva_type_aerodrome_mili","NTTX","MORUROA","base.pf"
"__export__.manureva_aerodrome_90_254d61ea","NTTE","False",,"False",,,"TETIAROA","base.pf","manureva.manureva_type_aerodrome_priv","NTTE","TETIAROA","base.pf"
"__export__.manureva_aerodrome_152_8c647a45","NTGS","False",,"False",,,"MARUTEA","base.pf","manureva.manureva_type_aerodrome_priv","NTGS","MARUTEA","base.pf"
"__export__.manureva_aerodrome_153_9438d6ee","HY TAHAA","False",,"False",,,"HY TAHAA","base.pf","__export__.manureva_type_aerodrome_10_549c95b5","HY TAHAA","HY TAHAA","base.pf"
"__export__.manureva_aerodrome_154_aabf4eb1","HE THALASSO BOB","False",,"False",,,"HE THALASSO BOB","base.pf","__export__.manureva_type_aerodrome_8_163a8caf","HE THALASSO BOB","HE THALASSO BOB","base.pf"
"__export__.manureva_aerodrome_155_8812072f","HE PAGO","False",,"False",,,"HE PAGO","base.pf","__export__.manureva_type_aerodrome_8_163a8caf","HE PAGO","HE PAGO","base.pf"
"__export__.manureva_aerodrome_156_de5a02ea","HE SOFITEL MOZ","False",,"False",,,"HE SOFITEL MOZ","base.pf","__export__.manureva_type_aerodrome_8_163a8caf","HE SOFITEL MOZ","HE SOFITEL MOZ","base.pf"
"__export__.manureva_aerodrome_158_b1ae7e55","NTHP","False",,"False",,,"PIRAE CHPF","base.pf","manureva.manureva_type_aerodrome_priv","NTHP","NTHP","base.pf"
"__export__.manureva_aerodrome_159_cd222b5a","HE ST REGIS BOB","False",,"False",,,"HE ST REGIS BOB","base.pf","__export__.manureva_type_aerodrome_8_163a8caf","HE ST REGIS BOB","HE ST REGIS BOB","base.pf"
"__export__.manureva_aerodrome_162_2e287875","HE MARAE TAPU","False",,"False",,,"HE MARAE TAPU","base.pf","__export__.manureva_type_aerodrome_8_163a8caf","HE MARAE TAPU","HE MARAE TAPU","base.pf"
"__export__.manureva_aerodrome_163_5f1eca84","HE LE TAHAA","False",,"False",,,"HE LE TAHAA","base.pf","__export__.manureva_type_aerodrome_8_163a8caf","HE LE TAHAA","HE LE TAHAA","base.pf"
"__export__.manureva_aerodrome_164_85eee4e3","HE 3 CASCADES","False",,"False",,,"HE 3 CASCADES","base.pf","__export__.manureva_type_aerodrome_8_163a8caf","HE 3 CASCADES","HE 3 CASCADES","base.pf"
"__export__.manureva_aerodrome_165_946ba492","HE PEARL BEACH BOB","False",,"False",,,"HE PEARL BEACH BOB","base.pf","__export__.manureva_type_aerodrome_8_163a8caf","HE PEARL BEACH BOB","HE PEARL BEACH BOB","base.pf"
"__export__.manureva_aerodrome_167_faf7bb33","HE MAUPITI STADE","False",,"False",,,"HE MAUPITI STADE","base.pf","__export__.manureva_type_aerodrome_8_163a8caf","HE MAUPITI STADE","HE MAUPITI STADE","base.pf"
"__export__.manureva_aerodrome_170_f6a8a06c","HE MEHETIA","False",,"False",,,"HE MEHETIA","base.pf","__export__.manureva_type_aerodrome_8_163a8caf","HE MEHETIA","HE MEHETIA","base.pf"
"__export__.manureva_aerodrome_171_aee15097","HE TAUTIRA","False",,"False",,,"HE TAUTIRA","base.pf","__export__.manureva_type_aerodrome_8_163a8caf","HE TAUTIRA","HE TAUTIRA","base.pf"
"__export__.manureva_aerodrome_172_0cf83884","HE PAEA STADE","False",,"False",,,"HE PAEA STADE","base.pf","__export__.manureva_type_aerodrome_8_163a8caf","HE PAEA STADE","HE PAEA STADE","base.pf"
"__export__.manureva_aerodrome_173_2d02d042","HE PUNARUU","False",,"False",,,"HE PUNARUU","base.pf","__export__.manureva_type_aerodrome_8_163a8caf","HE PUNARUU","HE PUNARUU","base.pf"
"__export__.manureva_aerodrome_174_f6d028fe","HE MAKATEA","False",,"False",,,"HE MAKATEA","base.pf","__export__.manureva_type_aerodrome_8_163a8caf","HE MAKATEA","HE MAKATEA","base.pf"
"__export__.manureva_aerodrome_175_e09ea64b","HE IC TAHITI","False",,"False",,,"HE IC TAHITI","base.pf","__export__.manureva_type_aerodrome_8_163a8caf","HE IC TAHITI","HE IC TAHITI","base.pf"
"__export__.manureva_aerodrome_176_f40819d1","HE CRIOBE MOZ","False",,"False",,,"HE CRIOBE MOZ","base.pf","__export__.manureva_type_aerodrome_8_163a8caf","HE CRIOBE MOZ","HE CRIOBE MOZ","base.pf"
"__export__.manureva_aerodrome_177_17da5543","HE COCO BEACH","False",,"False",,,"HE COCO BEACH","base.pf","__export__.manureva_type_aerodrome_8_163a8caf","HE COCO BEACH","HE COCO BEACH","base.pf"
"__export__.manureva_aerodrome_179_94aeaf80","HE OPOA STADE","False",,"False",,,"HE OPOA STADE","base.pf","__export__.manureva_type_aerodrome_8_163a8caf","HE OPOA STADE","HE OPOA STADE","base.pf"
"__export__.manureva_aerodrome_182_899c9ed9","HE MOANA LODGE","False",,"False",,,"HE MOANA LODGE","base.pf","__export__.manureva_type_aerodrome_8_163a8caf","HE MOANA LODGE","HE MOANA LODGE","base.pf"
